CBSA,ZIP,Locale,State,CBSA Title
46060,85715,Tucson,AZ,"Tucson, AZ"
19740,80016,Aurora,CO,"Denver-Aurora-Lakewood, CO"
39300,02842,Middletown,RI,"Providence-Warwick, RI-MA"
31080,91355,Santa Clarita,CA,"Los Angeles-Long Beach-Anaheim, CA"
41860,94063,Redwood City,CA,"San Francisco-Oakland-Berkeley, CA"
38060,85298,Gilbert,AZ,"Phoenix-Mesa-Chandler, AZ"
41180,63049,High Ridge,MO,"St. Louis, MO-IL"
22420,48423,Davison,MI,"Flint, MI"
14860,06602,Bridgeport,CT,"Bridgeport-Stamford-Norwalk, CT"
26900,46220,Indianapolis,IN,"Indianapolis-Carmel-Anderson, IN"
NULL,15522,Bedford,PA,NULL
41420,97385,Sublimity,OR,"Salem, OR"
39940,83420,Ashton,ID,"Rexburg, ID"
38300,15658,Ligonier,PA,"Pittsburgh, PA"
19820,48340,Pontiac,MI,"Detroit-Warren-Dearborn, MI"
15380,14075,Hamburg,NY,"Buffalo-Cheektowaga, NY"
17820,80919,Colorado Springs,CO,"Colorado Springs, CO"
18140,43085,Worthington,OH,"Columbus, OH"
12580,21010,Gunpowder,MD,"Baltimore-Columbia-Towson, MD"
29820,89107,Las Vegas,NV,"Las Vegas-Henderson-Paradise, NV"
NULL,09724,APO,AE,NULL
35620,10607,White Plains,NY,"New York-Newark-Jersey City, NY-NJ-PA"
45300,33566,Plant City,FL,"Tampa-St. Petersburg-Clearwater, FL"
34820,29579,Myrtle Beach,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
36500,98506,Olympia,WA,"Olympia-Lacey-Tumwater, WA"
31080,90010,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA"
17900,29208,Columbia,SC,"Columbia, SC"
NULL,24416,Buena Vista,VA,NULL
17140,45267,Cincinnati,OH,"Cincinnati, OH-KY-IN"
49180,27127,Winston-Salem,NC,"Winston-Salem, NC"
12580,21233,Baltimore,MD,"Baltimore-Columbia-Towson, MD"
44060,99223,Spokane,WA,"Spokane-Spokane Valley, WA"
NULL,54501,Rhinelander,WI,NULL
26420,77477,Stafford,TX,"Houston-The Woodlands-Sugar Land, TX"
33100,33158,Miami,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
14860,06606,Bridgeport,CT,"Bridgeport-Stamford-Norwalk, CT"
NULL,04535,Alna,ME,NULL
47900,20774,Springdale,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
35620,12572,Rhinebeck,NY,"New York-Newark-Jersey City, NY-NJ-PA"
25620,39406,Hattiesburg,MS,"Hattiesburg, MS"
45300,33525,Dade City,FL,"Tampa-St. Petersburg-Clearwater, FL"
33100,33027,Pembroke Pines,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
29460,33807,Lakeland,FL,"Lakeland-Winter Haven, FL"
42020,93424,Avila Beach,CA,"San Luis Obispo-Paso Robles, CA"
NULL,86304,Prescott,AZ,NULL
35620,10285,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA"
31080,92701,Santa Ana,CA,"Los Angeles-Long Beach-Anaheim, CA"
29820,89101,Las Vegas,NV,"Las Vegas-Henderson-Paradise, NV"
44980,17857,Northumberland,PA,"Sunbury, PA"
31980,46989,Upland,IN,"Marion, IN"
NULL,23839,Dendron,VA,NULL
46140,74152,Tulsa,OK,"Tulsa, OK"
19500,62521,Decatur,IL,"Decatur, IL"
37980,08108,Collingswood,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
18140,43223,Columbus,OH,"Columbus, OH"
18140,43201,Columbus,OH,"Columbus, OH"
NULL,26234,Rock Cave,WV,NULL
40340,55981,Wabasha,MN,"Rochester, MN"
35620,11779,Ronkonkoma,NY,"New York-Newark-Jersey City, NY-NJ-PA"
35620,07013,Clifton,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
41740,91942,La Mesa,CA,"San Diego-Chula Vista-Carlsbad, CA"
41860,94542,Hayward,CA,"San Francisco-Oakland-Berkeley, CA"
14460,02453,Waltham,MA,"Boston-Cambridge-Newton, MA-NH"
28140,64138,Kansas City,MO,"Kansas City, MO-KS"
33460,55432,Fridley,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
35620,11369,East Elmhurst,NY,"New York-Newark-Jersey City, NY-NJ-PA"
41860,94066,San Bruno,CA,"San Francisco-Oakland-Berkeley, CA"
40060,23192,Montpelier,VA,"Richmond, VA"
19000,28774,Sapphire,NC,"Cullowhee, NC"
39900,89570,Reno,NV,"Reno, NV"
19820,48324,West Bloomfield,MI,"Detroit-Warren-Dearborn, MI"
35620,11206,Brooklyn,NY,"New York-Newark-Jersey City, NY-NJ-PA"
34820,29582,North Myrtle Beach,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
47260,23109,Mathews,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
NULL,38851,Houston,MS,NULL
47900,21717,Buckeystown,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
NULL,83536,Kamiah,ID,NULL
12060,30005,Alpharetta,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
35620,07011,Clifton,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
37980,08108,Haddon Township,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
47900,20617,Bryantown,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
35620,11798,Wyandanch,NY,"New York-Newark-Jersey City, NY-NJ-PA"
41400,44408,Columbiana,OH,"Salem, OH"
30460,40515,Lexington,KY,"Lexington-Fayette, KY"
35620,11385,Flushing,NY,"New York-Newark-Jersey City, NY-NJ-PA"
49620,17406,York,PA,"York-Hanover, PA"
